Museum_Name,Address,City,State,PIN_Code,Opening_Hours,Closing_Hours,Contact_Email,Phone_Number,Full_Address,Latitude,Longitude
Raja Dinkar Kelkar Museum,1377-78 Natu Baag,Pune,Maharashtra,411002,9:30 AM,5:30 PM,kelkarmuseum@gmail.com,+91-20-24482101,"1377-78 Natu Baag, Pune, Maharashtra, 411002",18.5091507,73.8547709
Nehru Science Centre,Dr. E. Moses Road,Mumbai,Maharashtra,400018,9:30 AM,6:00 PM,info@nehrusciencecentre.gov.in,+91-22-24932667,"Dr. E. Moses Road, Mumbai, Maharashtra, 400018",18.9803106,72.8165556
Gandhi Museum,Gandhi Nagar,Madurai,Tamil Nadu,625020,10:00 AM,5:30 PM,gandhi.museum@gmail.com,+91-452-2531060,"Gandhi Nagar, Madurai, Tamil Nadu, 625020",9.923988999999999,78.1400524
City Palace Museum,City Palace Complex,Udaipur,Rajasthan,313001,9:30 AM,5:30 PM,museum@citypalace.org,+91-294-2419021,"City Palace Complex, Udaipur, Rajasthan, 313001",24.5764421,73.6835109
Maharaja Sawai Man Singh II Museum,City Palace,Jaipur,Rajasthan,302002,9:30 AM,5:00 PM,info@royaljaipur.gov.in,+91-141-4088888,"City Palace, Jaipur, Rajasthan, 302002",26.9257943,75.8236714
Crafts Museum,Bhairon Road,New Delhi,Delhi,110001,10:00 AM,5:30 PM,craftsmuseum@gmail.com,+91-11-23371887,"Bhairon Road, New Delhi, Delhi, 110001",28.6122869,77.2466194
Bihar Museum,Bailey Road,Patna,Bihar,800001,10:00 AM,5:00 PM,biharmuseum@gmail.com,+91-612-2219306,"Bailey Road, Patna, Bihar, 800001",25.6064316,85.11587
Virasat-e-Khalsa,Anandpur Sahib,Ropar,Punjab,140118,10:00 AM,6:00 PM,virasatekhalsa@gmail.com,+91-1887-232654,"Anandpur Sahib, Ropar, Punjab, 140118",31.2355318,76.5012734
State Museum Lucknow,53 Banarasi Bagh,Lucknow,Uttar Pradesh,226001,10:30 AM,4:30 PM,statemuseumlko@up.gov.in,+91-522-2620485,"53 Banarasi Bagh, Lucknow, Uttar Pradesh, 226001",26.8505863,80.9445187
Planetarium and Science Museum,Koramangala,Bangalore,Karnataka,560047,10:00 AM,5:30 PM,bangaloreplanetarium@gmail.com,+91-80-22379725,"Koramangala, Bangalore, Karnataka, 560047",12.9536792,77.61762480000002
Patna Museum,Buddha Marg,Patna,Bihar,800001,10:00 AM,5:00 PM,patnamuseum@bihar.gov.in,+91-612-2222779,"Buddha Marg, Patna, Bihar, 800001",25.6121205,85.1342358
Allahabad Museum,Chandrashekhar Azad Park,Prayagraj,Uttar Pradesh,211002,10:30 AM,5:00 PM,allahabadmuseum@gmail.com,+91-532-2407409,"Chandrashekhar Azad Park, Prayagraj, Uttar Pradesh, 211002",25.4571677,81.85184699999999
Indira Gandhi Rashtriya Manav Sangrahalaya,Shamla Hills,Bhopal,Madhya Pradesh,462013,10:00 AM,5:30 PM,igrms@bsnl.in,+91-755-2661319,"Shamla Hills, Bhopal, Madhya Pradesh, 462013",23.2349128,77.3826845
Sanskriti Museums,Anandagram,New Delhi,Delhi,110030,10:00 AM,5:00 PM,info@sanskritifoundation.org,+91-11-26503287,"Anandagram, New Delhi, Delhi, 110030",28.5061507,77.1312586
Baroda Museum & Picture Gallery,Sayajibaug,Vadodara,Gujarat,390018,10:30 AM,5:30 PM,barodamuseum@gmail.com,+91-265-2795083,"Sayajibaug, Vadodara, Gujarat, 390018",22.316154,73.1975102
Manipur State Museum,DM College Road,Imphal,Manipur,795001,10:00 AM,4:30 PM,manipurmuseum@gmail.com,+91-385-2450204,"DM College Road, Imphal, Manipur, 795001",24.8208634,93.9395043
International Dolls Museum,Nehru House,New Delhi,Delhi,110001,10:00 AM,6:00 PM,dollsmuseum@gmail.com,+91-11-23316970,"Nehru House, New Delhi, Delhi, 110001",28.6303938,77.2414859
Raja Ravi Varma Art Gallery,Thiruvananthapuram Museum,Thiruvananthapuram,Kerala,695033,10:00 AM,5:00 PM,rajaravivarmagallery@gmail.com,+91-471-2316275,"Thiruvananthapuram Museum, Thiruvananthapuram, Kerala, 695033",8.511529399999999,76.9326167
Red Fort Archaeological Museum,Red Fort Complex,New Delhi,Delhi,110006,9:30 AM,4:30 PM,redfortmuseum@asi.gov.in,+91-11-23277705,"Red Fort Complex, New Delhi, Delhi, 110006",28.6561592,77.2410203
Tribal Museum,Koraput,Koraput,Odisha,764020,10:00 AM,5:00 PM,koraputtribalmuseum@gmail.com,+91-6852-250225,"Koraput, Koraput, Odisha, 764020",18.813487,82.71233269999999
Government Museum Chennai,Egmore,Chennai,Tamil Nadu,600008,9:30 AM,5:00 PM,museumchennai@gmail.com,+91-44-28190235,"Egmore, Chennai, Tamil Nadu, 600008",13.0732259,80.2609209
Srimanta Sankaradeva Kalakshetra,Panjabari Road,Guwahati,Assam,781037,9:00 AM,6:00 PM,sskalakshetra@gmail.com,+91-361-2332665,"Panjabari Road, Guwahati, Assam, 781037",26.1331607,91.8293375
Regional Science Centre,Aliganj Extension,Lucknow,Uttar Pradesh,226024,10:00 AM,6:00 PM,rsclucknow@gmail.com,+91-522-2324694,"Aliganj Extension, Lucknow, Uttar Pradesh, 226024",26.8896943,80.9349434
Archaeological Museum Goa,Old Goa,North Goa,Goa,403402,9:00 AM,5:30 PM,archmusgoa@asi.gov.in,+91-832-2285302,"Old Goa, North Goa, Goa, 403402",15.5019663,73.90999049999999
Don Bosco Museum,Mawlai,Shillong,Meghalaya,793008,9:00 AM,5:30 PM,dbcicmuseum@gmail.com,+91-364-2550462,"Mawlai, Shillong, Meghalaya, 793008",25.6003253,91.8928297
Jawaharlal Nehru State Museum,Museum Road,Itanagar,Arunachal Pradesh,791111,9:30 AM,4:30 PM,jnstatemuseum@gmail.com,+91-360-2214675,"Museum Road, Itanagar, Arunachal Pradesh, 791111",27.0843682,93.6053163
Birla Industrial & Technological Museum,19A Gurusaday Road,Kolkata,West Bengal,700019,10:00 AM,5:30 PM,bitm@cal.vsnl.net.in,+91-33-22872924,"19A Gurusaday Road, Kolkata, West Bengal, 700019",22.5352287,88.3636336
Kala Bhavan Museum,Santiniketan,Bolpur,West Bengal,731235,10:30 AM,5:00 PM,kalabhavanmuseum@gmail.com,+91-3463-264275,"Santiniketan, Bolpur, West Bengal, 731235",23.6703599,87.692517
Cooch Behar Palace Museum,Cooch Behar Palace,Cooch Behar,West Bengal,736101,10:00 AM,5:00 PM,coochbeharmuseum@gmail.com,+91-3582-227463,"Cooch Behar Palace, Cooch Behar, West Bengal, 736101",26.3270017,89.438553
Chatrapati Shahu Museum,Kasaba Bawada,Kolhapur,Maharashtra,416003,9:30 AM,6:00 PM,shahumumseum@gmail.com,+91-231-2548370,"Kasaba Bawada, Kolhapur, Maharashtra, 416003",16.7375147,74.2443436
Bharat Kala Bhavan,BHU Campus,Varanasi,Uttar Pradesh,221005,10:00 AM,4:30 PM,bharatkalabhavan@gmail.com,+91-542-2368390,"BHU Campus, Varanasi, Uttar Pradesh, 221005",25.2685304,82.9904737
Andhra Pradesh State Museum,Public Gardens,Hyderabad,Telangana,500004,10:30 AM,5:00 PM,apstatemuseum@gmail.com,+91-40-23235631,"Public Gardens, Hyderabad, Telangana, 500004",17.391555,78.469842
Lehna Singh Museum,Khalsa College,Amritsar,Punjab,143002,9:00 AM,5:00 PM,lehnasinghmuseum@gmail.com,+91-183-2258612,"Khalsa College, Amritsar, Punjab, 143002",31.633927,74.8372656
Naval Aviation Museum,Bogmalo Road,Vasco da Gama,Goa,403806,10:00 AM,5:00 PM,navalmuseum@indiannavy.in,+91-832-2520877,"Bogmalo Road, Vasco da Gama, Goa, 403806",15.377233,73.8435855
Government Museum Mathura,Civil Lines,Mathura,Uttar Pradesh,281001,10:30 AM,4:30 PM,govtmuseummathura@gmail.com,+91-565-2505464,"Civil Lines, Mathura, Uttar Pradesh, 281001",27.4735312,77.70228200000001
Himachal State Museum,Chaura Maidan,Shimla,Himachal Pradesh,171004,10:00 AM,5:00 PM,himstatemuseum@gmail.com,+91-177-2650513,"Chaura Maidan, Shimla, Himachal Pradesh, 171004",31.1029251,77.1499544
Gass Forest Museum,Coimbatore,Coimbatore,Tamil Nadu,641002,9:00 AM,5:00 PM,gassmuseum@gmail.com,+91-422-2432349,"Coimbatore, Coimbatore, Tamil Nadu, 641002",11.0104033,76.94990279999999
Odisha State Museum,Lewis Road,Bhubaneswar,Odisha,751002,10:00 AM,5:00 PM,odishastatemuseum@gmail.com,+91-674-2432177,"Lewis Road, Bhubaneswar, Odisha, 751002",20.2360804,85.8411959
Sardar Vallabhbhai Patel National Memorial,Shahibaug,Ahmedabad,Gujarat,380004,9:30 AM,5:00 PM,svpmemorial@gmail.com,+91-79-22868672,"Shahibaug, Ahmedabad, Gujarat, 380004",23.0560932,72.5961666
Arna-Jharna Desert Museum,Moklawas,Jodhpur,Rajasthan,342007,10:00 AM,5:00 PM,arnajharnamuseum@gmail.com,+91-291-2251999,"Moklawas, Jodhpur, Rajasthan, 342007",26.3021228,73.0663881
Tibet Museum,Central Tibetan Administration,Dharamshala,Himachal Pradesh,176219,9:00 AM,5:00 PM,tibetmuseum@tibet.net,+91-1892-222510,"Central Tibetan Administration, Dharamshala, Himachal Pradesh, 176219",32.2257171,76.3248716
Netaji Birthplace Museum,Orilahbari,Cuttack,Odisha,753007,8:00 AM,5:00 PM,netajimuseum@gmail.com,+91-671-2621605,"Orilahbari, Cuttack, Odisha, 753007",20.4716871,85.8908337
Shankar's International Dolls Museum,Bahadur Shah Zafar Marg,New Delhi,Delhi,110002,10:00 AM,6:00 PM,dollsmuseum@childrensbook.in,+91-11-23316970,"Bahadur Shah Zafar Marg, New Delhi, Delhi, 110002",28.632593,77.2409852
Archaeology Museum Thrissur,Museum Road,Thrissur,Kerala,680020,10:00 AM,5:00 PM,archaeologymuseumthrissur@gmail.com,+91-487-2333217,"Museum Road, Thrissur, Kerala, 680020",10.5308603,76.2199714
Tripura Government Museum,Ujjayanta Palace,Agartala,Tripura,799001,11:00 AM,5:00 PM,tripuramuseum@gmail.com,+91-381-2324734,"Ujjayanta Palace, Agartala, Tripura, 799001",23.8373503,91.2827128
Telugu Museum,Public Gardens,Hyderabad,Telangana,500004,10:30 AM,5:00 PM,telugumuseum@gmail.com,+91-40-23240349,"Public Gardens, Hyderabad, Telangana, 500004",17.391555,78.469842
Khuda Bakhsh Oriental Library,Patna,Patna,Bihar,800004,10:00 AM,4:30 PM,kblibrary@gmail.com,+91-612-2302724,"Patna, Patna, Bihar, 800004",25.6155352,85.1608985
Nalanda Archaeological Museum,Nalanda,Nalanda,Bihar,803111,9:00 AM,5:00 PM,nalandamuseum@asi.gov.in,+91-6112-281230,"Nalanda, Nalanda, Bihar, 803111",25.1317312,85.4684971
Kanch Mahal Archaeology Museum,Sikandra,Agra,Uttar Pradesh,282007,9:00 AM,5:30 PM,kanchmahalmuseum@asi.gov.in,+91-562-2641226,"Sikandra, Agra, Uttar Pradesh, 282007",27.217135,77.94667559999999
Sanskar Kendra Museum,Paldi,Ahmedabad,Gujarat,380006,10:30 AM,5:30 PM,sanskarkendra@gmail.com,+91-79-26576639,"Paldi, Ahmedabad, Gujarat, 380006",23.0197481,72.5546438
Surajkund Crafts Museum,Surajkund,Faridabad,Haryana,121001,9:00 AM,6:00 PM,craftsmuseum@haryana.gov.in,+91-129-2512608,"Surajkund, Faridabad, Haryana, 121001",28.4842019,77.284176
National Museum of Natural History,Barakhamba Road,New Delhi,Delhi,110001,10:00 AM,5:30 PM,nmnh@nic.in,+91-11-23314849,"Barakhamba Road, New Delhi, Delhi, 110001",28.6286321,77.2269889
Sudharshan Museum,Upalvar Street,Madurai,Tamil Nadu,625001,9:00 AM,6:00 PM,sudharshanmuseum@gmail.com,+91-452-2342224,"Upalvar Street, Madurai, Tamil Nadu, 625001",9.915706199999999,78.1193823
Kerala Folklore Museum,Folklore Junction,Kochi,Kerala,682030,9:00 AM,6:00 PM,info@keralafolkloremuseum.org,+91-484-2665452,"Folklore Junction, Kochi, Kerala, 682030",10.0037578,76.3579401
Darshan Museum,Survey No. 261,Pune,Maharashtra,411014,9:30 AM,6:30 PM,info@darshanmuseum.org,+91-20-24212124,"Survey No. 261, Pune, Maharashtra, 411014",18.5574028,73.92830049999999
State Archaeological Museum Halebidu,Halebidu,Hassan,Karnataka,573121,9:00 AM,5:00 PM,halebidumuseum@gmail.com,+91-8177-273349,"Halebidu, Hassan, Karnataka, 573121",13.2129844,75.9942162
National War Memorial,India Gate Circle,New Delhi,Delhi,110001,9:00 AM,6:30 PM,warmuseum@mod.gov.in,+91-11-23792492,"India Gate Circle, New Delhi, Delhi, 110001",28.6156377,77.2298423
Haifa Museum of Art & Science,Sector 10,Chandigarh,Chandigarh,160011,10:00 AM,5:00 PM,info@haifamuseum.gov.in,+91-172-2740261,"Sector 10, Chandigarh, Chandigarh, 160011",30.7528622,76.78844420000001
Maharaja Fateh Singh Museum,Laxmi Vilas Palace,Vadodara,Gujarat,390001,10:00 AM,5:00 PM,fsmmuseum@gmail.com,+91-265-2426621,"Laxmi Vilas Palace, Vadodara, Gujarat, 390001",22.2939051,73.1912851
Archaeological Museum Hampi,Kamalapura,Hampi,Karnataka,583221,10:00 AM,5:00 PM,hampimuseum@asi.gov.in,+91-8394-241339,"Kamalapura, Hampi, Karnataka, 583221",15.3350132,76.46002399999999
Science City,JBS Haldane Avenue,Kolkata,West Bengal,700046,9:00 AM,8:00 PM,sciencecity@gmail.com,+91-33-22854343,"JBS Haldane Avenue, Kolkata, West Bengal, 700046",22.5416112,88.3850803
Dr. Bhau Daji Lad Museum,Byculla East,Mumbai,Maharashtra,400027,10:00 AM,6:00 PM,info@bdlmuseum.org,+91-22-23726058,"Byculla East, Mumbai, Maharashtra, 400027",18.9793266,72.83825470000001
Jagdish & Kamla Mittal Museum of Indian Art,Hyderabad,Hyderabad,Telangana,500036,11:00 AM,5:00 PM,jkmmuseum@gmail.com,+91-40-23552375,"Hyderabad, Hyderabad, Telangana, 500036",17.3698322,78.5149805
Cellular Jail National Memorial,Atlanta Point,Port Blair,Andaman & Nicobar,744102,9:00 AM,5:00 PM,cellularjail@gmail.com,+91-3192-233756,"Atlanta Point, Port Blair, Andaman & Nicobar, 744102",11.6731406,92.7462517
Archaeological Museum Konark,Konark,Puri,Odisha,752111,9:00 AM,5:00 PM,konarkmuseum@asi.gov.in,+91-6758-236821,"Konark, Puri, Odisha, 752111",19.8920686,86.091184
National Science Centre,Near Gate 1,New Delhi,Delhi,110001,10:00 AM,5:30 PM,nscdelhi@gmail.com,+91-11-23371945,"Near Gate 1, New Delhi, Delhi, 110001",28.6369574,77.2423661
Sulabh International Museum of Toilets,Mahavir Enclave,New Delhi,Delhi,110045,10:00 AM,5:00 PM,sulabhtoiletmuseum@gmail.com,+91-11-25031518,"Mahavir Enclave, New Delhi, Delhi, 110045",28.5993858,77.08174939999999
Museum of Christian Art,Convent of Santa Monica,Old Goa,Goa,403402,9:00 AM,5:00 PM,museumofchristianart@gmail.com,+91-832-2284058,"Convent of Santa Monica, Old Goa, Goa, 403402",15.5013889,73.9075
Padmanabhapuram Palace Museum,Padmanabhapuram,Kanyakumari,Tamil Nadu,629501,9:00 AM,5:00 PM,padmanabhamuseum@gmail.com,+91-4652-282618,"Padmanabhapuram, Kanyakumari, Tamil Nadu, 629501",8.2445969,77.33674979999999
Heritage Transport Museum,Gurugram-Tauru Road,Gurugram,Haryana,122105,10:00 AM,7:00 PM,info@heritagetransportmuseum.org,+91-124-2766618,"Gurugram-Tauru Road, Gurugram, Haryana, 122105",28.2604277,76.9160199
Archaeology Museum Khajuraho,Khajuraho,Chhatarpur,Madhya Pradesh,471606,10:00 AM,5:00 PM,khajurahomuseum@asi.gov.in,+91-7686-272320,"Khajuraho, Chhatarpur, Madhya Pradesh, 471606",24.8318452,79.91985489999999
Shankar's International Dolls Museum,Nehru House,New Delhi,Delhi,110001,10:00 AM,5:30 PM,info@childrensbooktrust.org,+91-11-23316970,"Nehru House, New Delhi, Delhi, 110001",28.6303938,77.2414859
Manipur State Museum,DM College Road,Imphal,Manipur,795001,9:30 AM,4:30 PM,manipurstatemuseum@gmail.com,+91-385-2451756,"DM College Road, Imphal, Manipur, 795001",24.8208634,93.9395043
Maritime Museum,Sagar Shakti,Gandhidham,Gujarat,370201,9:00 AM,6:00 PM,maritimemuseum@gmail.com,+91-2836-223325,"Sagar Shakti, Gandhidham, Gujarat, 370201",23.068843,70.1289859
Nek Chand Rock Garden,Sector 1,Chandigarh,Chandigarh,160001,9:00 AM,7:00 PM,rockgarden@gmail.com,+91-172-2740340,"Sector 1, Chandigarh, Chandigarh, 160001",30.752535,76.8101038
Archaeological Museum Aihole,Aihole,Bagalkot,Karnataka,587124,10:00 AM,5:00 PM,aiholemuseum@asi.gov.in,+91-8354-235766,"Aihole, Bagalkot, Karnataka, 587124",16.019844,75.88099
Maharaja Ranjit Singh Museum,Company Bagh,Amritsar,Punjab,143001,10:00 AM,5:00 PM,ranjitsinghmuseum@gmail.com,+91-183-2227698,"Company Bagh, Amritsar, Punjab, 143001",31.6384496,74.87849
Assam State Museum,M.G. Road,Guwahati,Assam,781001,10:00 AM,4:30 PM,assamstatemuseum@gmail.com,+91-361-2540651,"M.G. Road, Guwahati, Assam, 781001",26.187666,91.7418247
Archaeological Museum Ratnagiri,Ratnagiri,Jajpur,Odisha,754246,10:00 AM,5:00 PM,ratnagirimuseum@asi.gov.in,+91-6729-234332,"Ratnagiri, Jajpur, Odisha, 754246",20.5973136,86.6913222
Partition Museum,Town Hall,Amritsar,Punjab,143006,10:00 AM,6:00 PM,info@partitionmuseum.org,+91-183-5099468,"Town Hall, Amritsar, Punjab, 143006",31.62548409999999,74.8806827
Mani Bhavan Gandhi Museum,19 Laburnum Road,Mumbai,Maharashtra,400007,9:30 AM,6:00 PM,info@gandhi-manibhavan.org,+91-22-23805864,"19 Laburnum Road, Mumbai, Maharashtra, 400007",18.9575607,72.81139019999999
Jawahar Toy Museum,Jawahar Bal Bhavan,New Delhi,Delhi,110001,9:30 AM,5:30 PM,jawahartoymuseum@gmail.com,+91-11-23742093,"Jawahar Bal Bhavan, New Delhi, Delhi, 110001",28.4464729,77.1452758
Calicut Heritage Museum,SM Street,Kozhikode,Kerala,673001,10:00 AM,5:00 PM,calicutheritage@gmail.com,+91-495-2721230,"SM Street, Kozhikode, Kerala, 673001",11.2507622,75.7815607
Archaeological Museum Bijapur,Gol Gumbaz Complex,Bijapur,Karnataka,586101,9:00 AM,5:00 PM,bijapurmuseum@asi.gov.in,+91-8352-252281,"Gol Gumbaz Complex, Bijapur, Karnataka, 586101",16.8300989,75.73612039999999
Southern Naval Command Maritime Museum,INS Dronacharya,Kochi,Kerala,682004,9:30 AM,1:00 PM,navalmaritime@gmail.com,+91-484-2873799,"INS Dronacharya, Kochi, Kerala, 682004",9.9657787,76.2421147
Warangal Regional Science Centre,NIT Warangal,Warangal,Telangana,506004,10:30 AM,5:30 PM,rscwarangal@gmail.com,+91-870-2462833,"NIT Warangal, Warangal, Telangana, 506004",17.983523,79.5308386
Zonal Anthropological Museum,DD Germai Road,Port Blair,Andaman & Nicobar,744101,10:00 AM,5:00 PM,zam.andaman@gmail.com,+91-3192-233577,"DD Germai Road, Port Blair, Andaman & Nicobar, 744101",11.6455245,92.73568
Thanjavur Art Gallery,Palace Complex,Thanjavur,Tamil Nadu,613001,9:00 AM,5:00 PM,thanjavurartgallery@gmail.com,+91-4362-230032,"Palace Complex, Thanjavur, Tamil Nadu, 613001",10.791304,79.1371454
National Handicrafts and Handlooms Museum,Pragati Maidan,New Delhi,Delhi,110002,10:00 AM,5:00 PM,nhhm@gmail.com,+91-11-23371887,"Pragati Maidan, New Delhi, Delhi, 110002",28.6126456,77.2433578
National Museum of Indian Cinema,Films Division Complex,Mumbai,Maharashtra,400026,11:00 AM,6:00 PM,nmic.mumbai@gmail.com,+91-22-23551265,"Films Division Complex, Mumbai, Maharashtra, 400026",18.9705227,72.8093174
Kashi Art Gallery,Burgher Street,Kochi,Kerala,682001,9:00 AM,7:00 PM,kashiartgallery@gmail.com,+91-484-2215769,"Burgher Street, Kochi, Kerala, 682001",9.9664743,76.242856
Museum of Goa,Pilerne Industrial Estate,Bardez,Goa,403511,10:00 AM,6:00 PM,info@museumofgoa.com,+91-832-2407666,"Pilerne Industrial Estate, Bardez, Goa, 403511",15.5276507,73.7919103
Dogra Art Museum,Mubarak Mandi Complex,Jammu,Jammu & Kashmir,180001,10:00 AM,5:00 PM,dograartmuseum@gmail.com,+91-191-2546998,"Mubarak Mandi Complex, Jammu, Jammu & Kashmir, 180001",32.7393379,74.8745093
Salar Jung Museum Clock Building,Purani Haveli,Hyderabad,Telangana,500002,10:00 AM,5:00 PM,salarjungclock@gmail.com,+91-40-24523212,"Purani Haveli, Hyderabad, Telangana, 500002",17.3659421,78.48300859999999
National Police Museum,CGO Complex,New Delhi,Delhi,110003,10:00 AM,5:30 PM,nationalpolicemuseum@bprd.nic.in,+91-11-24369971,"CGO Complex, New Delhi, Delhi, 110003",28.5893143,77.2362044
Kangra Art Museum,Academy of Arts,Dharamshala,Himachal Pradesh,176215,10:00 AM,5:00 PM,kangraartmuseum@gmail.com,+91-1892-224214,"Academy of Arts, Dharamshala, Himachal Pradesh, 176215",32.219042,76.3234037
Archaeological Museum Lothal,Lothal,Ahmedabad,Gujarat,382230,9:00 AM,5:00 PM,lothalmuseum@asi.gov.in,+91-2714-262311,"Lothal, Ahmedabad, Gujarat, 382230",22.5228574,72.24936009999999
MS Swaminathan Research Foundation Museum,Third Cross Street,Chennai,Tamil Nadu,600113,9:30 AM,5:30 PM,mssrfmuseum@gmail.com,+91-44-22541229,"Third Cross Street, Chennai, Tamil Nadu, 600113",13.0060298,80.2621137
Vintage Car Museum,Ahmedabad Cantonment,Ahmedabad,Gujarat,380004,9:00 AM,6:00 PM,autoworld@gmail.com,+91-79-26582880,"Ahmedabad Cantonment, Ahmedabad, Gujarat, 380004",23.0638989,72.6087359
Tribal Research Institute Museum,Lalpur,Ranchi,Jharkhand,834001,10:00 AM,5:00 PM,trimuseum@gmail.com,+91-651-2200751,"Lalpur, Ranchi, Jharkhand, 834001",23.3721233,85.33827099999999
Anthropological Museum,Andaman Adim Janjati Vikas,Port Blair,Andaman & Nicobar,744101,9:00 AM,4:30 PM,anthromuseum.andaman@gmail.com,+91-3192-232475,"Andaman Adim Janjati Vikas, Port Blair, Andaman & Nicobar, 744101",11.6455245,92.73568
Science Museum Surat,Science Centre,Surat,Gujarat,395010,10:30 AM,6:30 PM,sciencemuseumsurat@gmail.com,+91-261-2255937,"Science Centre, Surat, Gujarat, 395010",21.1702316,72.7955882
Chowmahalla Palace Museum,Khilwat,Hyderabad,Telangana,500002,10:00 AM,5:00 PM,info@chowmahalla.com,+91-40-24522032,"Khilwat, Hyderabad, Telangana, 500002",17.3579213,78.4702215
Trivandrum Museum & Zoo,Museum Road,Thiruvananthapuram,Kerala,695033,10:00 AM,5:00 PM,museumzootvm@gmail.com,+91-471-2316275,"Museum Road, Thiruvananthapuram, Kerala, 695033",8.511529399999999,76.9326167
Maritime Heritage Complex,INS Vikrant,Vizag,Andhra Pradesh,530014,10:00 AM,6:00 PM,maritimemuseum@indiannavy.in,+91-891-2813131,"INS Vikrant, Vizag, Andhra Pradesh, 530014",17.6785358,83.27735899999999
ND Studios Museum,Mumbai-Pune Expressway,Karjat,Maharashtra,410201,9:00 AM,7:00 PM,ndstudios@gmail.com,+91-2148-224141,"Mumbai-Pune Expressway, Karjat, Maharashtra, 410201",18.7693287,73.4043358
Indira Gandhi Memorial Museum,1 Safdarjung Road,New Delhi,Delhi,110011,9:30 AM,4:45 PM,igmm@nehrutrust.org,+91-11-23012843,"1 Safdarjung Road, New Delhi, Delhi, 110011",28.5999403,77.206214
Madras Crocodile Bank Trust,East Coast Road,Chennai,Tamil Nadu,603104,8:30 AM,5:30 PM,director@madrascrocodilebank.org,+91-44-27472447,"East Coast Road, Chennai, Tamil Nadu, 603104",12.6634066,80.2093448
Central Museum Nagpur,Civil Lines,Nagpur,Maharashtra,440001,10:30 AM,5:30 PM,centralmuseum.nagpur@gmail.com,+91-712-2564802,"Civil Lines, Nagpur, Maharashtra, 440001",21.152752,79.074743
Museum of Kerala History,NH 47 Bypass,Kochi,Kerala,682028,10:00 AM,7:00 PM,keralahistorymuseum@gmail.com,+91-484-2425610,"NH 47 Bypass, Kochi, Kerala, 682028",10.1016751,76.3488015
Jawaharlal Nehru Planetarium,Sri T. Chowdaiah Road,Bangalore,Karnataka,560001,10:00 AM,5:30 PM,planetarium@bangaloreplanetarium.org,+91-80-22379725,"Sri T. Chowdaiah Road, Bangalore, Karnataka, 560001",12.9906555,77.5857398
